AREA TERRITORIAL;Centro;TIPO DE CENTRO;Nombre CENTRO;DOMICILIO;MUNICIPIO;DISTRITO MUNICIPAL;COD. POSTAL;TELEFONO;FAX;TITULARIDAD
Madrid-Capital;28020739;IES;EIJO Y GARAY;Calle De Severino Aznar Embid, 6-8 ;Madrid;Latina;28011;914632441;915262826;Público
Madrid-Capital;28013899;IES;EL ESPINILLO ;Calle De La Unanimidad, 15 ;Madrid;Villaverde;28041;917239150;917239151;Público
Madrid-Capital;28018435;IES;EMILIO CASTELAR;Calle De Río De Oro, 4 ;Madrid;Carabanchel;28019;914713243;914729058;Público
Madrid-Capital;28020958;IES;EMPERATRIZ MARIA DE AUSTRIA;Calle De Antonio De Leyva, 84 ;Madrid;Carabanchel;28019;914692425;915650794;Público
Madrid-Capital;28020703;IES;ENRIQUE TIERNO GALVAN;Avenida De Andalucía, 6,200 ;Madrid;Usera;28041;913171972;913173529;Público
Madrid-Capital;28025828;IES;FELIPE II;Calle De Valdebernardo, 1 ;Madrid;Moratalaz;28030;917731854;913713016;Público
Madrid-Capital;28030137;IES;FORTUNY;Calle De Fortuny, 24 ;Madrid;Chamberí;28010;913101839;913087018;Público
Madrid-Capital;28074918;IES;FRANCISCO AYALA;Calle Del Jacobeo, 33 ;Madrid;Carabanchel;28054;915116804;915080647;Público
Madrid-Capital;28045633;IES;FRANCISCO DE GOYA;Calle De Santa Irene, 4 ;Madrid;Ciudad Lineal;28017;914051101;914051597;Público
Madrid-Capital;28044902;IES;FRANCISCO DE QUEVEDO;Calle De San Román Del Valle, S/n ;Madrid;San Blas-Canillejas;28037;913065604;913065606;Público
Madrid-Capital;28039888;IES;GABRIEL GARCIA MARQUEZ;Calle Del Nevado Del Ruiz, 1 ;Madrid;Hortaleza;28033;913812820;913816423;Público
Madrid-Capital;28021550;IES;GARCIA MORATO;Calle Del General Saliquet, 34 ;Madrid;Latina;28044;917050818;917066145;Público
Madrid-Capital;28020582;IES;GÓMEZ MORENO;Avenida De Hellín, 5 ;Madrid;San Blas-Canillejas;28037;913209142;913203095;Público
Madrid-Capital;28021562;IES;GRAN CAPITÁN;Paseo De Los Melancólicos, 51 ;Madrid;Arganzuela;28005;913659190;913661507;Público
Madrid-Capital;28020119;IES;GREGORIO MARAÑON;Avenida De El Ferrol, 43 ;Madrid;Fuencarral-El Pardo;28029;917310421;917380949;Público
Madrid-Capital;28038823;IES;ISAAC NEWTON;Calle De Joaquín Lorenzo, 2 ;Madrid;Fuencarral-El Pardo;28035;913732052;913732177;Público
Madrid-Capital;28020909;IES;ISABEL LA CATOLICA;Calle De Alfonso Xii, 3 ;Madrid;Retiro;28014;915277878;915302294;Público
Madrid-Capital;28040741;IES;ITURRALDE;Calle De Nuestra Señora De La Luz, 53 ;Madrid;Latina;28047;914626822;914627744;Público
Madrid-Capital;28028477;IES;JAIME VERA;Calle De La Infanta Mercedes, 47 ;Madrid;Tetuán;28020;915700250;915715023;Público
Madrid-Capital;28037041;IES;JOAQUÍN RODRIGO;Calle De Casalarreina, 28 ;Madrid;Vicálvaro;28032;917762262;917762393;Público
Madrid-Capital;28018903;IES;JOAQUÍN TURINA;Calle De Guzmán El Bueno, 92 ;Madrid;Chamberí;28003;915539625;915336253;Público
Madrid-Capital;28020910;IES;JUAN DE LA CIERVA;Calle De La Caoba, 1 ;Madrid;Arganzuela;28005;915064610;914670167;Público
Madrid-Capital;28035330;IES;JUAN DE VILLANUEVA;Calle Del Camino Viejo De Villaverde, 28 ;Madrid;Usera;28041;913416343;913417819;Público
Madrid-Capital;28076371;IES;JUAN RAMÓN JIMÉNEZ;Calle De La Estefanita, S/n ;Madrid;Villaverde;28021;912761508;-;Público
Madrid-Capital;28041433;IES;JUANA DE CASTILLA;Calle De Valdebernardo, 3 ;Madrid;Moratalaz;28030;917726666;913710669;Público
Madrid-Capital;28028453;IES;LA ESTRELLA;Calle De La Estrella Polar, 10 ;Madrid;Retiro;28007;914095211;914097680;Público
Madrid-Capital;28030976;IES;LAS MUSAS;Calle De Carlos Ii, S/n ;Madrid;San Blas-Canillejas;28022;913065946;913240028;Público
Madrid-Capital;28019889;IES;LOPE DE VEGA;Calle De San Bernardo, 70 ;Madrid;Centro;28015;915321362;915320248;Público
Madrid-Capital;28045840;IES;MADRID-SUR;Avenida Del Parque De Palomeras Bajas, S/n ;Madrid;Puente de Vallecas;28018;917850181;917860146;Público
Madrid-Capital;28073859;IES;MANUEL FRAGA IRIBARNE;Avenida De Niceto Alcalá Zamora, 54 ;Madrid;Hortaleza;28050;912761503;912749994;Público
Madrid-Capital;28038801;IES;MARIA DE MOLINA;Calle De Mirabel, 22 ;Madrid;Latina;28044;917054289;917054611;Público
Madrid-Capital;28077269;IES;MARIA RODRIGO;Talamanca Del Jarama Esq. Granja De San Ildef ;Madrid;Villa de Vallecas;28051;-;-;Público
Madrid-Capital;28030952;IES;MARIANA PINEDA;Calle Del Alcalde Garrido Juaristi, 6 ;Madrid;Moratalaz;28030;914302111;914376702;Público
Madrid-Capital;28028431;IES;MARIANO JOSE DE LARRA;Calle De Camarena, 181 ;Madrid;Latina;28047;917192105;917192304;Público
Madrid-Capital;28039840;IES;MARQUES DE SUANZES;Avenida Del Veinticinco De Septiembre, 3 ;Madrid;San Blas-Canillejas;28027;917414653;913200619;Público
Madrid-Capital;28030162;IES;MIGUEL DELIBES;Calle De Villaescusa, 17 ;Madrid;Ciudad Lineal;28017;917541070;913270979;Público
Madrid-Capital;28038355;IES;MIRASIERRA;Calle De La Portera Del Cura, 4 ;Madrid;Fuencarral-El Pardo;28034;917346532;913720171;Público
Madrid-Capital;28020806;IES;NTRA. SRA. DE LA ALMUDENA;Plaza De La Remonta, 17 ;Madrid;Tetuán;28039;915712857;915711386;Público
Madrid-Capital;28058603;IES;NUMANCIA;Calle De Las Marismas, 14 ;Madrid;Puente de Vallecas;28038;915015001;915014989;Público
Madrid-Capital;28018381;IES;ORTEGA Y GASSET;Calle Santa Fe, 4 ;Madrid;Moncloa-Aravaca;28008;915476635;915413941;Público
Madrid-Capital;28021549;IES;PALOMERAS-VALLECAS;Calle De La Arboleda, S/n ;Madrid;Puente de Vallecas;28031;913314503;913325458;Público
Madrid-Capital;28020727;IES;PARQUE ALUCHE;Calle De Maqueda, 86 ;Madrid;Latina;28024;917182610;917182498;Público
Madrid-Capital;28074244;IES;PEDRO SALINAS;Calle Del General Marvá, 24-26 ;Madrid;Usera;28026;915699236;915699235;Público
Madrid-Capital;28039852;IES;PEREZ GALDOS;Calle De Fermín Caballero, 92 ;Madrid;Fuencarral-El Pardo;28035;913863098;913167216;Público
Madrid-Capital;28037053;IES;PRADOLONGO;Calle Del Albardín, 6 ;Madrid;Usera;28026;914699013;915650391;Público
Madrid-Capital;28047411;IES;PRINCIPE FELIPE;Calle De Finisterre, 60 ;Madrid;Fuencarral-El Pardo;28029;913146312;913159895;Público
Madrid-Capital;28028672;IES;RAMIRO DE MAEZTU;Calle De Serrano, 127 ;Madrid;Chamartín;28006;915617838;914110865;Público
Madrid-Capital;28030150;IES;RAMON Y CAJAL;Avenida De Manoteras, 55 ;Madrid;Hortaleza;28050;917660911;917665080;Público
Madrid-Capital;28057271;IES;RENACIMIENTO;Calle De Castellflorite, 4 ;Madrid;Carabanchel;28019;914615211;91 5256849;Público
Madrid-Capital;28020624;IES;REY PASTOR;Calle Del Corregidor José De Pasamonte, 17 ;Madrid;Moratalaz;28030;914392661;914371764;Público
Madrid-Capital;28037028;IES;ROSA CHACEL;Calle De Abizanda, 70 ;Madrid;Hortaleza;28033;913821905;917646902;Público
Madrid-Capital;28039876;IES;SALVADOR DALÍ;Calle De Verdaguer Y García, 2 ;Madrid;Ciudad Lineal;28027;914049490;913264503;Público
Madrid-Capital;28018472;IES;SAN CRISTOBAL DE LOS ANGELES;Plaza De Los Pinazo, 7 ;Madrid;Villaverde;28021;917972584;915053607;Público
Madrid-Capital;28019351;IES;SAN FERNANDO;Carretera De Colmenar Viejo, K13.5 ;Madrid;Fuencarral-El Pardo;28049;917353106;917340764;Público
Madrid-Capital;28034441;IES;SAN ISIDORO DE SEVILLA;Plaza Del Marqués De Comillas, 1 ;Madrid;Chamberí;28040;915330607;915330337;Público
Madrid-Capital;28020946;IES;SAN ISIDRO;Calle De Toledo, 39 ;Madrid;Centro;28005;913651271;913656833;Público
Madrid-Capital;28028465;IES;SAN JUAN BAUTISTA;Calle De San Nemesio, 1 ;Madrid;Ciudad Lineal;28043;914137961;914166908;Público
Madrid-Capital;28030939;IES;SAN MATEO;Calle De La Beneficencia, 4 ;Madrid;Centro;28004;912760274;915235212;Público
Madrid-Capital;28042644;IES;SANTA EUGENIA;Calle Cerro Almodóvar, 5 ;Madrid;Villa de Vallecas;28031;913311623;913322107;Público
Madrid-Capital;28018344;IES;SANTA TERESA DE JESUS;Calle Del Fomento, 9 ;Madrid;Centro;28013;915415996;915418034;Público
Madrid-Capital;28018356;IES;SANTAMARCA;Calle De Puerto Rico, 34 ;Madrid;Chamartín;28016;913505122;913450683;Público
Madrid-Capital;28019464;IES;TIRSO DE MOLINA;Avenida De La Albufera, 144 ;Madrid;Puente de Vallecas;28038;913033173;913801252;Público
Madrid-Capital;28015756;IES;VALDEBERNARDO;Bulevar De Indalecio Prieto, 1 ;Madrid;Vicálvaro;28032;913016099;913016148;Público
Madrid-Capital;28020648;IES;VALLECAS I;Avenida De La Albufera, 78 ;Madrid;Puente de Vallecas;28038;914773809;914770873;Público
Madrid-Capital;28030964;IES;VALLECAS-MAGERIT;Calle De Antonio Folgueras, 27 ;Madrid;Puente de Vallecas;28018;914780023;914781320;Público
Madrid-Capital;28040751;IES;VILLA DE VALLECAS;Calle De Villarino De Los Aires, 14 ;Madrid;Villa de Vallecas;28031;917774715;913802465;Público
Madrid-Capital;28039891;IES;VILLABLANCA;Calle De Villablanca, 79 ;Madrid;Vicálvaro;28032;917752214;917766577;Público
Madrid-Capital;28021008;IES;VISTA ALEGRE;Calle Del General Ricardos, 177 ;Madrid;Carabanchel;28025;914628600;915258200;Público
Madrid-Capital;28066417;CPR ES;COLEGIO SAN FRANCISCO;Calle De La Fortaleza, 2 ;Madrid;Fuencarral-El Pardo;28048;913761599;913761935;Privado Concertado
Madrid-Capital;28007619;CPR ES;JESUS MARIA;Calle De Los Hermanos García Noblejas, 68 ;Madrid;Ciudad Lineal;28037;913671660;913679204;Privado Concertado
Madrid-Capital;28019300;CPR ES;MARIA INMACULADA;Calle De Ríos Rosas, 35 ;Madrid;Chamberí;28003;914410628;913990637;Privado Concertado
Madrid-Capital;28006019;CPR ES;PADRE PIQUER;Calle Del Cañaveral, 96 ;Madrid;Tetuán;28029;913153947;913231744;Privado Concertado
Madrid-Capital;28020028;CPR ES;SANTA BARBARA;Plaza De La Paja, 4 ;Madrid;Centro;28005;913652340;913669961;Privado Concertado
Madrid-Capital;28033382;CPR ES;VALDECAS;Calle De Javier De Miguel, 17 ;Madrid;Puente de Vallecas;28018;914785675;91 7571997;Privado Concertado
Madrid-Capital;28018061;CPR INF-PRI-SEC;AGORA;Calle Del Marqués De Portugalete, 17 ;Madrid;Ciudad Lineal;28027;917421891;917421813;Privado Concertado
Madrid-Capital;28019828;CPR INF-PRI-SEC;AGUSTINIANO;Calle Del Pez Austral, 13 ;Madrid;Retiro;28007;915740000;914096201;Privado Concertado
Madrid-Capital;28011246;CPR INF-PRI-SEC;AMOR DE DIOS;Calle De Gutiérrez Canales, 15 ;Madrid;San Blas-Canillejas;28022;917410114;917415820;Privado Concertado
Madrid-Capital;28011261;CPR INF-PRI-SEC;AMOROS;Calle De Gómez De Arteche, 28 ;Madrid;Carabanchel;28044;915111130;915083064;Privado Concertado
Madrid-Capital;28010436;CPR INF-PRI-SEC;ASUNCION CUESTABLANCA;Calle Asunción Cuestablanca, 11 ;Madrid;Hortaleza;28050;913020549;917662234;Privado Concertado
Madrid-Capital;28012962;CPR INF-PRI-SEC;ASUNCION-VALLECAS;Calle De Montseny, 25 ;Madrid;Puente de Vallecas;28038;914336991;915520042;Privado Concertado
Madrid-Capital;28021690;CPR INF-PRI-SEC;BERNADETTE;Calle De Santa Bernardita, 1 ;Madrid;Moncloa-Aravaca;28023;913071146;913070494;Privado Concertado
Madrid-Capital;28008107;CPR INF-PRI-SEC;BLANCA DE CASTILLA;Paseo De Eduardo Dato, 2 ;Madrid;Chamberí;28010;914460398;915939922;Privado Concertado
Madrid-Capital;28013103;CPR INF-PRI-SEC;CALASANCIO-NTRA.SRA.DE LAS ESCUELAS PIAS;Calle Del Conde De Peñalver, 51 ;Madrid;Salamanca;28006;914449400;914016433;Privado Concertado
Madrid-Capital;28011477;CPR INF-PRI-SEC;CARDENAL SPINOLA;Calle Del Cardenal Marcelo Spinola, 34 ;Madrid;Chamartín;28016;913022040;917661395;Privado Concertado
Madrid-Capital;28020156;CPR INF-PRI-SEC;CASA DE LA VIRGEN;Calle De La Virgen Del Val, 1 ;Madrid;Ciudad Lineal;28027;914041788;913269087;Privado Concertado
Madrid-Capital;28015094;CPR INF-PRI-SEC;CENTRO CULTURAL ELFO;Calle Del Elfo, 74 ;Madrid;Ciudad Lineal;28027;913673653;914081287;Privado Concertado
Madrid-Capital;28020120;CPR INF-PRI-SEC;CHAMBERI;Calle De Rafael Calvo, 12 ;Madrid;Chamberí;28010;914456250;914440340;Privado Concertado
Madrid-Capital;28015148;CPR INF-PRI-SEC;CLARET;Calle De Corazón De María, 1 ;Madrid;Chamartín;28002;914152154;914167092;Privado Concertado
Madrid-Capital;28069251;CPR INF-PRI-SEC;COLEGIO ABACO;Avenida De La Peseta, 8 ;Madrid;Latina;28054;915114064;915081150;Privado Concertado
Madrid-Capital;28073151;CPR INF-PRI-SEC;COLEGIO ARENALES CARABANCHEL;Avenida De Los Poblados, 151 ;Madrid;Carabanchel;28025;912250610;911984558;Privado Concertado
Madrid-Capital;28067318;CPR INF-PRI-SEC;COLEGIO ARTICA;Calle De Los Morales, 25 ;Madrid;Carabanchel;28054;915112615;914006071;Privado Concertado
Madrid-Capital;28072132;CPR INF-PRI-SEC;COLEGIO CEU SAN PABLO EN SANCHINARRO;Avenida Del Alcalde Conde De Mayalde, 45 ;Madrid;Hortaleza;28050;913923440;-;Privado Concertado
Madrid-Capital;28005799;CPR INF-PRI-SEC;COLEGIO DIOCESANO MARIA INMACULADA - JOAQUIN TURINA;Calle De Joaquín Turina, 62 ;Madrid;Carabanchel;28044;915092950;917051461;Privado Concertado
Madrid-Capital;28005787;CPR INF-PRI-SEC;COLEGIO DIOCESANO MARIA INMACULADA - MOGAMBO;Calle De Mogambo, 5 ;Madrid;Puente de Vallecas;28018;917774651;917850880;Privado Concertado
Madrid-Capital;28072144;CPR INF-PRI-SEC;COLEGIO ESTUDIANTES LAS TABLAS;Calle De Fromista, 1 ;Madrid;Fuencarral-El Pardo;28050;918250075;916353597;Privado Concertado
Madrid-Capital;28069285;CPR INF-PRI-SEC;COLEGIO GAUDEM;Calle De La Playa De Barlovento, 14 ;Madrid;Barajas;28042;913886477;913010182;Privado Concertado
Madrid-Capital;28064202;CPR INF-PRI-SEC;COLEGIO INTERNACIONAL J.H. NEWMAN;Avenida De Guadalajara, 28-32 ;Madrid;San Blas-Canillejas;28032;917609184;913135739;Privado Concertado
Madrid-Capital;28013851;CPR INF-PRI-SEC;COLEGIO LA SALLE SAN RAFAEL;Calle De Fernando El Católico, 49 ;Madrid;Chamberí;28015;915447395;915432703;Privado Concertado
Madrid-Capital;28007309;CPR INF-PRI-SEC;COLEGIO NUEVO EQUIPO;Calle De López De Aranda, 5 ;Madrid;Ciudad Lineal;28027;917421611;917422016;Privado Concertado
Madrid-Capital;28015033;CPR INF-PRI-SEC;COLEGIO SAN PEDRO APOSTOL;Calle De Babilonia, 19 ;Madrid;Barajas;28042;913055605;913056074;Privado Concertado
Madrid-Capital;28014685;CPR INF-PRI-SEC;COLEGIO SENARA;Avenida De Moratalaz, 178 ;Madrid;Moratalaz;28030;913016070;913016075;Privado Concertado
Madrid-Capital;28073173;CPR INF-PRI-SEC;COLEGIO STELLA MARIS LA GAVIA;Calle Peñaranda De Bracamonte C/v Entrepeñas, 9 ;Madrid;Villa de Vallecas;28051;913005070;913852359;Privado Concertado
Madrid-Capital;28070846;CPR INF-PRI-SEC;COLEGIO TORREVILANO;Calle Del Embalse De Navacerrada, 9 ;Madrid;Villa de Vallecas;28051;914945959;913851811;Privado Concertado
Madrid-Capital;28065747;CPR INF-PRI-SEC;COLEGIO VALDEFUENTES;Calle De Ana De Austria, 6 ;Madrid;Hortaleza;28050;902252292;911441495;Privado Concertado
Madrid-Capital;28069273;CPR INF-PRI-SEC;COLEGIO VILLAMADRID;Calle Transversal Sexta, 17 ;Madrid;Villaverde;28021;917979272;917964834;Privado Concertado
Madrid-Capital;28011647;CPR INF-PRI-SEC;CORAZON DE MARIA;Calle De Zigia, 1 ;Madrid;Ciudad Lineal;28027;913671269;913682106;Privado Concertado
Madrid-Capital;28011635;CPR INF-PRI-SEC;CORAZON INMACULADO;Calle De López De Hoyos, 59 ;Madrid;Chamartín;28002;915618049;915614089;Privado Concertado
Madrid-Capital;28011659;CPR INF-PRI-SEC;CORPUS CHRISTI;Calle De Amara, 4 ;Madrid;Ciudad Lineal;28027;913679327;914086723;Privado Concertado
Madrid-Capital;28007127;CPR INF-PRI-SEC;CRISTO REY;Avenida De San Luis, 29 ;Madrid;Hortaleza;28033;913021636;917668471;Privado Concertado
Madrid-Capital;28007139;CPR INF-PRI-SEC;CRISTO REY;Calle De Santa Úrsula, 5 ;Madrid;Latina;28011;914636445;915260656;Privado Concertado
Madrid-Capital;28011726;CPR INF-PRI-SEC;DECROLY;Calle De Guzmán El Bueno, 60 ;Madrid;Chamberí;28015;915492505;915492509;Privado Concertado
Madrid-Capital;28015902;CPR INF-PRI-SEC;DIVINA PASTORA;Calle De Santa Engracia, 142 ;Madrid;Chamberí;28003;915341012;915538504;Privado Concertado
Madrid-Capital;28069261;CPR INF-PRI-SEC;EDITH STEIN;Calle Simca, 20 ;Madrid;Usera;28041;913412879;911739441;Privado Concertado
Madrid-Capital;28011490;CPR INF-PRI-SEC;EL CARMELO TERESIANO;Calle De Nuñomoral, 1 ;Madrid;Latina;28044;917052427;917106655;Privado Concertado
Madrid-Capital;28008703;CPR INF-PRI-SEC;EL PORVENIR;Calle De Bravo Murillo, 85 ;Madrid;Chamberí;28003;915331337;915345492;Privado Concertado
Madrid-Capital;28049857;CPR INF-PRI-SEC;EL VALLE;Calle De Cordel De Pavones, 2 ;Madrid;Vicálvaro;28032;917511510;917511693;Privado Concertado
Madrid-Capital;28065735;CPR INF-PRI-SEC;EL VALLE II;Calle De Ana De Austria, 60 ;Madrid;Hortaleza;28050;917188426;917188721;Privado Concertado
Madrid-Capital;28067321;CPR INF-PRI-SEC;EL VALLE III;Calle De Cebreiro, 2 ;Madrid;Fuencarral-El Pardo;28050;914273503;914273055;Privado Concertado
Madrid-Capital;28008958;CPR INF-PRI-SEC;ENRIQUETA AYMER;Calle De Mirabel, 38 ;Madrid;Latina;28044;917052100;915090212;Privado Concertado
Madrid-Capital;28011945;CPR INF-PRI-SEC;FRAY LUIS DE LEON;Calle De Evaristo San Miguel, 10 ;Madrid;Moncloa-Aravaca;28008;915472400;915595192;Privado Concertado
Madrid-Capital;28037405;CPR INF-PRI-SEC;FUENTELARREYNA;Calle De Ramón Gómez De La Serna, 24 ;Madrid;Fuencarral-El Pardo;28035;913732328;913862655;Privado Concertado
Madrid-Capital;28007395;CPR INF-PRI-SEC;FUNDACION CALDEIRO;Avenida De Los Toreros, 45 ;Madrid;Salamanca;28028;917255200;917257300;Privado Concertado
Madrid-Capital;28011970;CPR INF-PRI-SEC;GAMO DIANA;Calle De Tembleque, 104 ;Madrid;Latina;28024;917176946;917181358;Privado Concertado
Madrid-Capital;28067331;CPR INF-PRI-SEC;GSD  LAS SUERTES;Calle De Rafael De León, 10 ;Madrid;Villa de Vallecas;28051;913853505;913853404;Privado Concertado
Madrid-Capital;28045566;CPR INF-PRI-SEC;GSD  VALLECAS;Avenida Del Parque De Palomeras Bajas, 14 ;Madrid;Puente de Vallecas;28018;917853412;917853822;Privado Concertado
Madrid-Capital;28056886;CPR INF-PRI-SEC;GSD MORATALAZ;Calle De Luis De Hoyos Sáinz, 170 ;Madrid;Moratalaz;28030;917723811;917723121;Privado Concertado
Madrid-Capital;28015987;CPR INF-PRI-SEC;INMACULADA CONCEPCION;Calle Del General Díaz Porlier, 25 ;Madrid;Salamanca;28001;914314420;915782934;Privado Concertado
Madrid-Capital;28022475;CPR INF-PRI-SEC;INSTITUCION PROFESIONAL SALESIANA;Ronda De Don Bosco, 3 ;Madrid;Carabanchel;28044;915087640;915086152;Privado Concertado
Madrid-Capital;28007607;CPR INF-PRI-SEC;JESUS MAESTRO;Calle De Juan Vigón, 8 ;Madrid;Chamberí;28003;915530807;915346613;Privado Concertado
Madrid-Capital;28012354;CPR INF-PRI-SEC;JESUS MARIA;Calle De Juan Bravo, 13 ;Madrid;Salamanca;28006;914319520;915781696;Privado Concertado
Madrid-Capital;28019270;CPR INF-PRI-SEC;LA INMACULADA;Avenida De La Virgen Del Carmen, 13 ;Madrid;Hortaleza;28033;917634509;917644191;Privado Concertado
Madrid-Capital;28021902;CPR INF-PRI-SEC;LA INMACULADA;Calle De Navalperal, 9 ;Madrid;Moncloa-Aravaca;28035;914500608;914597867;Privado Concertado
Madrid-Capital;28012196;CPR INF-PRI-SEC;LA INMACULADA-MARILLAC;Calle De García De Paredes, 37 ;Madrid;Chamberí;28010;914453534;915912834;Privado Concertado
Madrid-Capital;28042498;CPR INF-PRI-SEC;LA PRESENTACION DE NTRA.SRA.;Plaza De La Vicalvarada, 1 ;Madrid;Vicálvaro;28032;917764323;917764672;Privado Concertado
Madrid-Capital;28013863;CPR INF-PRI-SEC;LA SALLE;Calle Del General Romero Basart, 50 ;Madrid;Latina;28044;917050011;917058368;Privado Concertado
Madrid-Capital;28008934;CPR INF-PRI-SEC;LA SALLE-SAGRADO CORAZON;Avenida Del Cardenal Herrera Oria, 242 ;Madrid;Fuencarral-El Pardo;28035;917385300;917307493;Privado Concertado
Madrid-Capital;28046901;CPR INF-PRI-SEC;LAS ROSAS;Calle De Calabria C/v A Avda. De Niza, 24, 1 ;Madrid;San Blas-Canillejas;28022;913132334;917754987;Privado Concertado
Madrid-Capital;28067409;CPR INF-PRI-SEC;LAS TABLAS VALVERDE;Paseo De La Tierra De Melide, S/n ;Madrid;Fuencarral-El Pardo;28050;914273506;914273061;Privado Concertado
Madrid-Capital;28011544;CPR INF-PRI-SEC;LICEO SOROLLA B;Calle De Nueva Zelanda, 21 ;Madrid;Moncloa-Aravaca;28035;913164327;913736434;Privado Concertado
Madrid-Capital;28022104;CPR INF-PRI-SEC;LOS OLMOS;Calle De Los Astros, 13 ;Madrid;Retiro;28007;914009866;914009867;Privado Concertado
Madrid-Capital;28012032;CPR INF-PRI-SEC;LOS ROBLES;Avenida De La Osa Mayor, 239 ;Madrid;Moncloa-Aravaca;28023;913070330;913572819;Privado Concertado
Madrid-Capital;28067392;CPR INF-PRI-SEC;LOS TILOS;Calle De El Bosco, S/n ;Madrid;Puente de Vallecas;28038;913451116;913598243;Privado Concertado
Madrid-Capital;28020235;CPR INF-PRI-SEC;LOURDES;Calle De San Roberto, 8 ;Madrid;Latina;28011;915180358;915184820;Privado Concertado
Madrid-Capital;28007826;CPR INF-PRI-SEC;MADRE DE DIOS;Calle De Ángel Muñoz, 5 ;Madrid;Ciudad Lineal;28043;914158169;914139247;Privado Concertado
Madrid-Capital;28007103;CPR INF-PRI-SEC;MADRES CONCEPCIONISTAS;Calle De La Princesa, 19 ;Madrid;Moncloa-Aravaca;28008;915424901;915598313;Privado Concertado
Madrid-Capital;28012779;CPR INF-PRI-SEC;MADRES MERCEDARIAS DE D. JUAN DE ALARCON;Calle De Valverde, 15 ;Madrid;Centro;28004;915224615;915327756;Privado Concertado
Madrid-Capital;28020429;CPR INF-PRI-SEC;MARIA AUXILIADORA;Calle De Villaamil, 18 ;Madrid;Tetuán;28039;913110750;913110462;Privado Concertado
Madrid-Capital;28007917;CPR INF-PRI-SEC;MARIA INMACULADA;Paseo Del General Martínez Campos, 18 ;Madrid;Chamberí;28010;914466119;914466870;Privado Concertado
